underlying,expiry,strike,option_type,bid,ask,iv,open_interest,volume,trade_date
GOOGL,2025-04-04,200.0,call,0.03,0.03,0.194375,591,192,2025-03-06
MSFT,2025-03-14,415.0,put,5.15,5.25,0.209934,367,226,2025-03-05
MSFT,2025-04-18,465.0,put,46.71,48.72,0.183415,258,31,2025-03-05
GOOGL,2025-04-04,170.0,put,2.14,2.2,0.223297,31,6,2025-03-04
GOOGL,2025-03-28,200.0,put,23.78,25.08,0.186362,542,117,2025-03-07
MSFT,2025-03-28,375.0,call,40.44,42.03,0.213745,145,83,2025-03-07
AAPL,2025-04-11,210.0,put,23.63,24.65,0.218987,804,40,2025-03-03
GOOGL,2025-04-25,150.0,put,0.06,0.07,0.20146,198,64,2025-03-06
AAPL,2025-03-14,165.0,put,0.01,0.01,0.246664,483,128,2025-03-04
AAPL,2025-03-21,165.0,put,0.01,0.01,0.212796,816,388,2025-03-07
AMZN,2025-04-25,220.0,call,0.29,0.3,0.18778,605,219,2025-03-06
AMZN,2025-03-28,185.0,put,0.0,0.63,0.207621,209,45,2025-03-07
AAPL,2025-04-25,200.0,call,1.02,1.06,0.181363,105,19,2025-03-03
MSFT,2025-03-07,445.0,put,29.4,30.36,0.203618,147,61,2025-03-05
GOOGL,2025-03-28,185.0,call,0.6,0.62,0.197426,142,59,2025-03-06
AAPL,2025-03-14,210.0,call,0.01,0.01,0.23159,8419,4056,2025-03-04
NVDA,2025-04-25,985.0,call,1.98,2.06,0.203979,132,47,2025-03-07
AMZN,2025-04-18,165.0,call,30.19,31.75,0.206326,523,113,2025-03-07
NVDA,2025-04-04,810.0,put,1.34,1.39,0.19665,97,40,2025-03-07
AMZN,2025-03-21,180.0,call,15.23,15.75,0.194334,789,123,2025-03-04
GOOGL,2025-03-21,180.0,put,6.09,6.26,0.218342,391,128,2025-03-03
MSFT,2025-04-04,465.0,call,0.19,0.2,0.193888,787,72,2025-03-06
MSFT,2025-03-28,385.0,put,0.55,0.57,0.208164,222,26,2025-03-06
MSFT,2025-03-28,405.0,call,14.65,15.01,0.199906,615,448,2025-03-06
MSFT,2025-04-25,330.0,put,0.01,0.01,0.207181,851,240,2025-03-05
GOOGL,2025-04-18,210.0,put,32.6,34.84,0.185515,2523,1932,2025-03-04
AMZN,2025-03-07,170.0,call,24.45,25.59,0.212175,116,29,2025-03-06
AMZN,2025-03-07,180.0,put,0.01,0.01,0.238245,681,21,2025-03-04
AMZN,2025-03-07,205.0,put,9.78,10.06,0.226261,2042,1,2025-03-03
MSFT,2025-04-04,425.0,call,6.52,6.73,0.22224,1035,422,2025-03-07
MSFT,2025-04-18,355.0,put,0.24,0.25,0.229044,1006,72,2025-03-04
GOOGL,2025-04-25,175.0,put,4.67,4.79,0.203791,482,157,2025-03-04
MSFT,2025-03-07,475.0,put,58.49,60.99,0.2061,566,51,2025-03-03
NVDA,2025-03-07,920.0,put,44.25,45.5,0.224754,326,14,2025-03-06
NVDA,2025-03-21,895.0,put,26.11,26.94,0.205773,2534,879,2025-03-03
NVDA,2025-04-04,1050.0,put,165.59,175.82,0.195751,1212,337,2025-03-05
NVDA,2025-04-04,830.0,put,4.81,4.96,0.213025,52,3,2025-03-05
MSFT,2025-04-18,465.0,put,46.86,48.75,0.19114,161,16,2025-03-04
GOOGL,2025-03-14,140.0,put,0.01,0.01,0.236924,11933,2480,2025-03-06
MSFT,2025-03-14,375.0,put,0.01,0.01,0.232157,478,98,2025-03-07
NVDA,2025-03-14,810.0,put,0.03,0.03,0.213208,106,30,2025-03-07
NVDA,2025-04-18,720.0,call,155.37,163.54,0.198711,153,50,2025-03-04
AAPL,2025-03-14,190.0,put,5.28,5.41,0.205009,52,7,2025-03-07
GOOGL,2025-03-07,190.0,call,0.01,0.0,0.224576,8475,2212,2025-03-06
NVDA,2025-04-25,855.0,call,39.51,40.73,0.19825,9490,3539,2025-03-06
GOOGL,2025-03-07,155.0,call,19.67,20.46,0.211276,384,11,2025-03-04
AAPL,2025-03-07,205.0,call,0.01,0.01,0.224039,568,259,2025-03-03
MSFT,2025-04-25,375.0,call,43.25,45.04,0.221438,57,5,2025-03-04
AMZN,2025-04-11,195.0,call,5.28,5.4,0.190043,3014,646,2025-03-03
GOOGL,2025-03-07,145.0,put,0.01,0.01,0.220681,2674,1121,2025-03-03
AMZN,2025-03-21,185.0,put,0.57,0.59,0.217638,1600,412,2025-03-03
MSFT,2025-04-11,405.0,call,17.16,17.71,0.195778,46,16,2025-03-04
AMZN,2025-04-11,155.0,call,39.7,41.78,0.193195,1094,349,2025-03-07
NVDA,2025-04-04,855.0,call,34.47,35.36,0.214405,143,38,2025-03-05
GOOGL,2025-04-11,200.0,call,0.07,0.07,0.187459,139,17,2025-03-04
AMZN,2025-03-21,170.0,call,24.84,25.86,0.218111,1108,376,2025-03-06
GOOGL,2025-04-04,195.0,put,19.0,19.78,0.210654,177,46,2025-03-05
AMZN,2025-04-18,155.0,call,39.91,42.05,0.205473,1945,93,2025-03-03
AMZN,2025-03-14,215.0,call,0.01,0.01,0.228634,426,125,2025-03-06
MSFT,2025-04-18,415.0,call,13.0,13.29,0.213509,40,15,2025-03-07
NVDA,2025-05-02,810.0,put,4.85,5.03,0.204812,39,16,2025-03-07
MSFT,2025-04-18,405.0,put,5.34,5.47,0.185724,1392,94,2025-03-05
NVDA,2025-03-21,1050.0,call,0.01,0.01,0.184842,629,88,2025-03-05
NVDA,2025-03-28,700.0,put,0.01,0.01,0.214888,233,30,2025-03-06
AMZN,2025-04-11,235.0,put,37.88,39.88,0.163443,123,56,2025-03-07
MSFT,2025-03-21,455.0,put,38.43,40.01,0.21955,279,27,2025-03-06
AMZN,2025-04-18,220.0,call,0.22,0.23,0.185393,558,26,2025-03-03
AMZN,2025-04-18,185.0,call,12.72,13.14,0.2195,288,67,2025-03-05
NVDA,2025-04-04,985.0,call,0.53,0.55,0.205768,186,47,2025-03-05
AAPL,2025-04-25,190.0,put,7.11,7.3,0.188627,335,46,2025-03-07
NVDA,2025-04-11,1050.0,put,165.48,174.2,0.157333,6582,1032,2025-03-06
GOOGL,2025-03-14,140.0,put,0.01,0.01,0.210755,1796,14,2025-03-04
GOOGL,2025-03-21,160.0,call,15.05,15.66,0.199558,456,193,2025-03-06
AMZN,2025-04-04,155.0,put,0.01,0.01,0.223222,98,28,2025-03-05
AMZN,2025-04-18,190.0,put,2.8,2.87,0.206168,196,10,2025-03-07
MSFT,2025-03-07,425.0,put,9.92,10.16,0.202344,724,80,2025-03-05
AAPL,2025-04-04,155.0,call,29.65,31.63,0.202759,58,9,2025-03-05
NVDA,2025-04-11,720.0,call,153.68,164.03,0.204316,1009,563,2025-03-03
AMZN,2025-03-28,225.0,put,28.64,30.07,0.189535,821,617,2025-03-07
MSFT,2025-04-25,475.0,put,56.01,58.66,0.200202,329,37,2025-03-07
NVDA,2025-04-04,895.0,call,14.68,15.11,0.215332,205,16,2025-03-04
GOOGL,2025-04-18,175.0,call,5.51,5.62,0.214487,333,36,2025-03-07
MSFT,2025-03-28,475.0,put,57.09,60.07,0.185486,330,64,2025-03-06
AMZN,2025-03-14,180.0,call,14.99,15.5,0.22053,96,28,2025-03-05
AAPL,2025-03-07,165.0,put,0.01,0.01,0.236591,53,6,2025-03-03
AMZN,2025-04-18,235.0,put,37.47,39.67,0.188832,74,14,2025-03-04
GOOGL,2025-04-04,190.0,put,14.38,14.86,0.198874,334,86,2025-03-07
AMZN,2025-03-21,200.0,call,1.85,1.9,0.212132,82,29,2025-03-03
AAPL,2025-04-04,210.0,call,0.05,0.05,0.191427,979,56,2025-03-04
AMZN,2025-03-14,155.0,put,0.01,0.01,0.23802,2296,84,2025-03-07
GOOGL,2025-04-25,200.0,put,23.22,24.31,0.178431,923,232,2025-03-06
AAPL,2025-05-02,205.0,put,18.41,19.36,0.171369,228,4,2025-03-07
AAPL,2025-03-21,185.0,call,3.28,3.35,0.209031,2398,73,2025-03-06
AMZN,2025-03-14,155.0,call,39.05,41.25,0.226467,285,21,2025-03-07
MSFT,2025-03-21,375.0,put,0.11,0.12,0.240341,55,15,2025-03-06
MSFT,2025-03-28,365.0,call,50.26,52.23,0.208541,104,48,2025-03-04
AMZN,2025-04-25,230.0,put,32.62,34.23,0.167218,170,21,2025-03-05
GOOGL,2025-04-18,190.0,put,14.42,15.0,0.200553,4592,295,2025-03-07
NVDA,2025-03-21,985.0,put,105.56,110.15,0.181849,3210,695,2025-03-05
GOOGL,2025-04-11,170.0,put,2.04,2.1,0.204227,83,12,2025-03-06
AMZN,2025-03-21,235.0,put,38.08,40.83,0.186422,255,44,2025-03-04
NVDA,2025-04-04,720.0,call,154.17,161.76,0.22206,473,103,2025-03-05
MSFT,2025-04-11,435.0,call,4.87,5.03,0.213036,453,42,2025-03-03
NVDA,2025-04-11,855.0,put,10.67,10.94,0.194378,135,16,2025-03-07
MSFT,2025-04-04,395.0,put,2.47,2.54,0.210814,586,362,2025-03-05
AMZN,2025-04-11,210.0,call,0.92,0.95,0.196447,1124,80,2025-03-03
AAPL,2025-04-11,220.0,put,32.92,34.82,0.192502,132,35,2025-03-04
NVDA,2025-04-04,810.0,put,2.33,2.43,0.218272,142,51,2025-03-05
NVDA,2025-04-11,985.0,put,103.09,107.8,0.169727,199,25,2025-03-06
AMZN,2025-04-25,220.0,put,23.21,24.15,0.173864,231,77,2025-03-05
GOOGL,2025-04-18,185.0,call,1.81,1.87,0.203386,3126,929,2025-03-04
AMZN,2025-03-14,175.0,call,19.87,20.62,0.222529,12233,5386,2025-03-04
GOOGL,2025-04-25,140.0,put,0.01,0.01,0.207678,83,39,2025-03-06
GOOGL,2025-03-07,205.0,call,0.01,0.01,0.205758,141,11,2025-03-03
NVDA,2025-03-28,830.0,call,50.92,52.44,0.218768,150,7,2025-03-04
GOOGL,2025-04-11,195.0,put,18.91,19.66,0.198873,596,184,2025-03-07
MSFT,2025-03-14,475.0,call,0.01,0.01,0.204311,583,74,2025-03-04
NVDA,2025-03-14,1050.0,put,169.41,178.58,0.183599,117,27,2025-03-07
MSFT,2025-04-18,455.0,put,38.01,39.42,0.196386,967,287,2025-03-03
GOOGL,2025-03-28,140.0,call,34.39,36.49,0.216579,622,88,2025-03-05
NVDA,2025-03-21,895.0,put,25.59,26.63,0.204392,845,130,2025-03-04
AAPL,2025-03-14,150.0,call,34.29,36.12,0.241007,145,17,2025-03-04
MSFT,2025-03-28,445.0,call,0.0,0.91,0.190076,156,14,2025-03-03
MSFT,2025-04-25,395.0,put,4.3,4.43,0.214069,1323,752,2025-03-07
AMZN,2025-04-18,200.0,call,3.68,3.78,0.202188,750,311,2025-03-06
AMZN,2025-03-28,185.0,call,10.96,11.28,0.196753,1165,125,2025-03-06
GOOGL,2025-04-18,180.0,call,3.13,3.22,0.195021,41,15,2025-03-03
AAPL,2025-03-28,175.0,call,10.9,11.47,0.210534,364,42,2025-03-05
MSFT,2025-03-28,365.0,put,0.06,0.07,0.222486,232,36,2025-03-05
AMZN,2025-05-02,220.0,call,0.44,0.46,0.193074,1005,104,2025-03-07
MSFT,2025-04-04,330.0,put,0.01,0.01,0.221682,123,5,2025-03-05
GOOGL,2025-04-04,150.0,call,25.04,26.17,0.201881,248,167,2025-03-06
AMZN,2025-04-04,160.0,put,0.01,0.01,0.214826,110,53,2025-03-06
MSFT,2025-03-14,375.0,put,0.01,0.01,0.219184,752,298,2025-03-05
NVDA,2025-04-04,810.0,put,2.9,3.0,0.228084,279,26,2025-03-04
AMZN,2025-04-18,195.0,call,6.54,6.74,0.224979,165,16,2025-03-05
AAPL,2025-04-11,220.0,put,33.12,34.78,0.172859,108,23,2025-03-07
GOOGL,2025-03-14,185.0,put,9.72,10.19,0.218047,450,64,2025-03-03
NVDA,2025-03-14,965.0,put,86.72,90.71,0.21567,1974,50,2025-03-04
NVDA,2025-03-07,1030.0,call,0.01,0.01,0.223027,667,96,2025-03-03
AMZN,2025-04-04,185.0,call,11.16,11.53,0.182991,82,24,2025-03-07
AMZN,2025-03-21,160.0,call,34.37,36.28,0.215571,1441,181,2025-03-06
NVDA,2025-04-18,1005.0,put,121.4,126.84,0.181753,156,13,2025-03-03
NVDA,2025-03-28,985.0,put,104.95,109.24,0.181781,913,179,2025-03-06
NVDA,2025-03-21,940.0,put,63.07,65.14,0.220441,3330,76,2025-03-06
MSFT,2025-04-25,395.0,call,26.13,28.17,0.20558,380,108,2025-03-03
AMZN,2025-03-14,160.0,call,34.34,36.14,0.228867,545,143,2025-03-03
NVDA,2025-03-28,965.0,call,0.37,0.39,0.194502,175,31,2025-03-06
MSFT,2025-03-14,425.0,put,10.98,11.25,0.211076,652,90,2025-03-07
GOOGL,2025-03-28,210.0,put,33.41,35.27,0.190505,1055,509,2025-03-05
MSFT,2025-03-21,355.0,call,59.44,62.12,0.213067,460,87,2025-03-05
GOOGL,2025-03-14,200.0,call,0.01,0.01,0.194534,962,139,2025-03-04
NVDA,2025-04-11,855.0,put,10.78,11.04,0.193184,73,5,2025-03-06
AMZN,2025-04-18,160.0,put,0.01,0.01,0.208456,1638,18,2025-03-06
AAPL,2025-04-11,215.0,call,0.05,0.06,0.200196,57,4,2025-03-04
GOOGL,2025-05-02,150.0,put,0.21,0.22,0.231372,826,463,2025-03-07
MSFT,2025-03-14,435.0,call,0.36,0.37,0.219156,200,22,2025-03-07
GOOGL,2025-03-28,185.0,put,10.02,10.43,0.206484,110,9,2025-03-03
GOOGL,2025-03-28,190.0,call,0.18,0.19,0.187523,150,22,2025-03-04
GOOGL,2025-03-21,165.0,put,0.23,0.24,0.208097,248,19,2025-03-06
AMZN,2025-03-07,170.0,call,24.51,25.59,0.208638,42,10,2025-03-05
AMZN,2025-03-07,180.0,put,0.0,0.01,0.222102,281,97,2025-03-03
GOOGL,2025-04-18,205.0,put,28.2,29.58,0.205643,130,19,2025-03-07
AMZN,2025-03-28,155.0,put,0.01,0.01,0.233086,766,393,2025-03-04
MSFT,2025-04-11,455.0,put,37.7,39.08,0.180171,209,4,2025-03-05
NVDA,2025-03-14,920.0,call,1.56,1.62,0.229193,49,22,2025-03-04
MSFT,2025-03-28,405.0,call,15.13,15.55,0.220701,701,155,2025-03-07
AAPL,2025-04-18,190.0,call,3.42,3.51,0.200477,1370,146,2025-03-05
AAPL,2025-04-18,220.0,put,32.78,34.5,0.181476,624,127,2025-03-03
AAPL,2025-03-21,220.0,put,33.69,35.41,0.203542,206,38,2025-03-06
NVDA,2025-03-21,875.0,call,14.29,14.84,0.200963,124,29,2025-03-07
NVDA,2025-03-28,700.0,put,0.01,0.01,0.229606,230,20,2025-03-03
MSFT,2025-03-28,375.0,put,0.13,0.13,0.203405,203,31,2025-03-06
AMZN,2025-03-28,180.0,put,0.21,0.22,0.209329,258,34,2025-03-06
MSFT,2025-04-18,395.0,put,3.97,4.09,0.218525,258,69,2025-03-06
NVDA,2025-03-14,720.0,call,151.04,160.34,0.222973,267,61,2025-03-07
MSFT,2025-03-14,340.0,put,0.01,0.01,0.226019,4151,1282,2025-03-06
AMZN,2025-04-04,205.0,put,10.02,10.38,0.178245,65,5,2025-03-04
GOOGL,2025-03-14,210.0,call,0.01,0.01,0.213648,692,94,2025-03-05
MSFT,2025-04-11,375.0,call,41.55,43.14,0.190461,1090,14,2025-03-04
MSFT,2025-04-04,395.0,call,23.04,23.73,0.190622,596,9,2025-03-06
GOOGL,2025-03-28,175.0,put,3.09,3.16,0.197918,764,65,2025-03-06
AMZN,2025-03-14,165.0,call,29.55,30.86,0.234776,605,291,2025-03-05
MSFT,2025-03-21,385.0,put,0.57,0.59,0.230768,813,165,2025-03-03
AMZN,2025-03-07,160.0,call,34.21,35.88,0.21145,161,4,2025-03-05
MSFT,2025-04-18,355.0,call,60.93,63.61,0.224951,678,112,2025-03-06
GOOGL,2025-03-21,145.0,put,0.01,0.01,0.235772,456,47,2025-03-07
NVDA,2025-03-28,720.0,put,0.01,0.01,0.212178,48,21,2025-03-06
AMZN,2025-05-02,230.0,call,0.07,0.07,0.182648,24,1,2025-03-07
NVDA,2025-04-25,1030.0,put,142.82,152.88,0.172699,34,12,2025-03-04
GOOGL,2025-04-11,140.0,call,34.81,36.64,0.201891,108,24,2025-03-04
AAPL,2025-04-25,215.0,put,27.96,29.29,0.196877,532,177,2025-03-04
AAPL,2025-03-14,160.0,call,24.62,25.78,0.22238,362,139,2025-03-05
GOOGL,2025-04-25,185.0,put,10.59,10.92,0.197996,87,19,2025-03-04
AMZN,2025-03-07,220.0,put,24.45,25.49,0.198702,62,15,2025-03-06
MSFT,2025-04-11,425.0,put,15.46,15.91,0.209419,195,14,2025-03-03
AAPL,2025-03-14,150.0,put,0.01,0.01,0.217553,2410,799,2025-03-07
GOOGL,2025-03-28,195.0,put,19.07,19.82,0.211998,795,152,2025-03-03
NVDA,2025-04-25,920.0,put,48.2,49.61,0.186645,308,45,2025-03-03
AMZN,2025-04-04,185.0,put,1.2,1.24,0.221784,1118,420,2025-03-05
GOOGL,2025-04-11,195.0,call,0.18,0.19,0.190278,137,40,2025-03-06
MSFT,2025-04-04,330.0,call,84.24,88.65,0.215186,81,20,2025-03-03
AMZN,2025-03-14,175.0,call,19.76,20.63,0.229732,122,16,2025-03-06
AMZN,2025-03-07,165.0,put,0.01,0.01,0.222462,1393,188,2025-03-06
NVDA,2025-04-25,765.0,call,113.11,118.85,0.205934,4893,569,2025-03-06
NVDA,2025-04-18,1005.0,call,0.65,0.68,0.203754,416,64,2025-03-07
AMZN,2025-03-14,205.0,call,0.31,0.32,0.210937,440,42,2025-03-03
AMZN,2025-04-04,155.0,call,39.63,41.73,0.205851,872,354,2025-03-03
NVDA,2025-03-14,940.0,call,0.08,0.08,0.200437,1293,521,2025-03-06
AAPL,2025-03-21,160.0,call,24.81,25.98,0.228002,454,74,2025-03-03
NVDA,2025-03-07,720.0,put,0.01,0.01,0.237419,306,29,2025-03-04
MSFT,2025-04-04,395.0,put,2.76,2.84,0.214028,957,34,2025-03-03
MSFT,2025-04-11,415.0,put,10.48,10.71,0.216842,164,20,2025-03-03
GOOGL,2025-03-14,185.0,call,0.25,0.26,0.222439,68,1,2025-03-03
AAPL,2025-03-28,220.0,call,0.01,0.01,0.194694,211,17,2025-03-04
AAPL,2025-04-25,195.0,put,10.71,11.03,0.196869,1385,34,2025-03-06
AMZN,2025-03-14,190.0,put,0.87,0.89,0.227395,122,50,2025-03-05
MSFT,2025-03-07,500.0,call,0.01,0.01,0.215942,124,4,2025-03-03
AMZN,2025-03-28,160.0,put,0.01,0.01,0.226035,512,170,2025-03-05
AAPL,2025-04-04,155.0,put,0.01,0.01,0.22308,80,10,2025-03-07
AAPL,2025-04-25,205.0,call,0.61,0.64,0.197657,862,128,2025-03-06
GOOGL,2025-03-14,150.0,call,24.55,25.82,0.22486,98,39,2025-03-05
MSFT,2025-03-14,445.0,call,0.07,0.07,0.199906,241,7,2025-03-05
MSFT,2025-03-14,475.0,put,58.26,60.83,0.210705,340,0,2025-03-07
GOOGL,2025-04-18,185.0,put,10.08,10.47,0.180108,130,24,2025-03-03
AAPL,2025-03-21,165.0,call,19.94,20.7,0.205283,322,20,2025-03-07
GOOGL,2025-04-25,150.0,put,0.08,0.09,0.20396,1412,725,2025-03-03
AMZN,2025-04-11,165.0,put,0.04,0.05,0.236048,604,116,2025-03-06
MSFT,2025-04-25,490.0,put,69.87,73.46,0.177288,25,2,2025-03-05
AAPL,2025-03-28,200.0,put,14.31,14.93,0.193025,109,50,2025-03-06
MSFT,2025-04-04,375.0,call,41.09,42.79,0.212315,411,69,2025-03-05
AAPL,2025-04-11,215.0,call,0.05,0.05,0.19981,819,87,2025-03-05
NVDA,2025-04-18,830.0,call,55.33,58.02,0.202864,48,16,2025-03-05
AAPL,2025-04-18,165.0,call,20.87,21.71,0.210972,407,109,2025-03-04
AAPL,2025-03-28,220.0,put,33.19,35.37,0.190303,580,185,2025-03-04
AMZN,2025-03-28,220.0,call,0.02,0.02,0.200597,599,58,2025-03-07
AAPL,2025-04-18,170.0,call,16.4,16.96,0.202643,32,5,2025-03-03
GOOGL,2025-03-14,160.0,put,0.01,0.01,0.235122,174,63,2025-03-05
MSFT,2025-04-11,455.0,put,37.99,39.37,0.194879,590,79,2025-03-07
AAPL,2025-04-18,165.0,call,20.74,21.54,0.196465,2560,156,2025-03-06
GOOGL,2025-05-02,140.0,call,34.88,37.29,0.22173,193,7,2025-03-07
NVDA,2025-05-02,745.0,put,0.52,0.55,0.213807,53,11,2025-03-07
GOOGL,2025-03-21,185.0,put,9.79,10.28,0.211331,1097,23,2025-03-05
AMZN,2025-04-11,190.0,call,7.86,8.06,0.185669,510,155,2025-03-07
AAPL,2025-04-18,165.0,put,0.22,0.23,0.200877,948,75,2025-03-03
AMZN,2025-04-04,230.0,call,0.01,0.01,0.183113,824,109,2025-03-03
NVDA,2025-03-07,940.0,put,63.4,65.58,0.21622,698,256,2025-03-03
GOOGL,2025-03-28,145.0,put,,0.01,0.222423,200,60,2025-03-05
AMZN,2025-04-25,180.0,put,0.74,0.77,0.196231,3412,396,2025-03-06
NVDA,2025-03-21,700.0,put,0.01,0.01,0.229824,301,47,2025-03-04
AAPL,2025-03-14,180.0,put,0.0,0.46,0.208522,1332,438,2025-03-07
MSFT,2025-04-11,395.0,put,2.58,2.66,0.193391,114,17,2025-03-04
GOOGL,2025-04-04,150.0,put,0.01,0.01,0.212428,120,21,2025-03-06
GOOGL,2025-04-25,140.0,call,0.0,36.97,0.221998,724,78,2025-03-04
AAPL,2025-04-04,205.0,put,18.94,19.7,0.190519,35,4,2025-03-06
GOOGL,2025-05-02,170.0,put,3.07,3.16,0.213957,194,74,2025-03-07
AMZN,2025-04-04,220.0,call,0.07,0.08,0.188267,126,31,2025-03-03
AMZN,2025-04-04,215.0,call,0.26,0.27,0.201665,1447,329,2025-03-05
MSFT,2025-03-28,415.0,put,7.96,8.21,0.218875,4299,391,2025-03-07
GOOGL,2025-03-28,170.0,call,7.09,7.32,0.21048,163,76,2025-03-03
AAPL,2025-04-11,155.0,put,0.02,0.02,0.217849,294,12,2025-03-04
NVDA,2025-04-11,855.0,put,12.26,12.75,0.207037,114,39,2025-03-05
AMZN,2025-03-07,225.0,call,0.01,0.01,0.225533,187,13,2025-03-04
AAPL,2025-03-28,155.0,put,0.01,0.01,0.213027,1342,855,2025-03-03
AAPL,2025-04-11,195.0,put,10.35,10.66,0.196702,1721,281,2025-03-06
GOOGL,2025-03-14,185.0,put,9.68,10.03,0.193474,1060,556,2025-03-04
GOOGL,2025-04-04,165.0,put,0.64,0.66,0.201643,434,203,2025-03-06
AAPL,2025-04-18,195.0,put,10.65,10.96,0.201144,1862,463,2025-03-05
MSFT,2025-03-28,395.0,call,22.5,23.28,0.204766,1064,297,2025-03-05
MSFT,2025-03-21,425.0,call,4.04,4.15,0.230841,324,104,2025-03-06
AMZN,2025-04-18,180.0,call,16.47,17.06,0.206031,1056,122,2025-03-06
AMZN,2025-04-04,195.0,put,3.78,3.87,0.184964,446,101,2025-03-03
NVDA,2025-04-25,830.0,put,5.47,5.68,0.174852,1904,86,2025-03-03
AMZN,2025-03-28,210.0,put,14.53,15.12,0.214666,270,154,2025-03-04
AAPL,2025-03-07,215.0,put,29.12,30.64,0.212508,335,32,2025-03-03
NVDA,2025-03-14,700.0,call,171.07,180.84,0.234971,1118,57,2025-03-04
NVDA,2025-04-04,790.0,call,87.47,90.91,0.202418,817,122,2025-03-03
GOOGL,2025-03-28,165.0,call,10.81,11.14,0.195465,112,15,2025-03-04
AMZN,2025-03-14,235.0,call,0.01,0.01,0.214631,635,28,2025-03-04
NVDA,2025-03-14,700.0,call,171.37,180.74,0.233752,45,3,2025-03-03
MSFT,2025-04-25,375.0,call,42.92,44.59,0.201202,149,61,2025-03-03
GOOGL,2025-04-25,140.0,put,0.01,0.01,0.227021,556,77,2025-03-04
AMZN,2025-03-14,220.0,put,0.0,25.36,0.217233,1505,30,2025-03-06
AMZN,2025-03-21,235.0,call,0.01,0.01,0.197079,774,324,2025-03-05
AAPL,2025-04-11,180.0,put,2.3,2.38,0.207209,1391,205,2025-03-06
AAPL,2025-03-21,150.0,put,0.01,0.01,0.234554,145,39,2025-03-03
AMZN,2025-03-28,175.0,call,20.12,20.98,0.210453,31,14,2025-03-07
NVDA,2025-04-11,790.0,call,88.39,92.37,0.208093,2184,801,2025-03-04
MSFT,2025-03-21,490.0,call,0.01,0.01,0.216355,151,39,2025-03-03
GOOGL,2025-04-25,145.0,put,0.03,0.03,0.207185,165,85,2025-03-03
AMZN,2025-04-04,170.0,call,25.09,26.22,0.182752,456,156,2025-03-07
MSFT,2025-04-11,500.0,call,0.02,0.02,0.200856,2525,1270,2025-03-06
MSFT,2025-03-07,340.0,put,0.01,0.01,0.219983,26,15,2025-03-05
GOOGL,2025-03-28,165.0,call,11.0,11.39,0.213923,726,183,2025-03-03
MSFT,2025-03-14,405.0,call,11.98,12.28,0.221954,604,85,2025-03-06
GOOGL,2025-03-14,155.0,put,0.01,0.01,8.448473,896,264,2025-03-06
NVDA,2025-03-21,790.0,call,85.59,88.62,0.208631,503,31,2025-03-03
NVDA,2025-04-11,810.0,put,1.97,2.03,0.192343,35,15,2025-03-06
AAPL,2025-04-18,220.0,call,0.02,0.02,0.192119,1421,283,2025-03-06
NVDA,2025-04-11,1030.0,put,145.99,153.92,0.170122,598,12,2025-03-06
NVDA,2025-03-21,895.0,put,26.32,27.28,0.225668,768,145,2025-03-06
MSFT,2025-04-11,425.0,call,6.65,6.81,0.189058,29,1,2025-03-04
MSFT,2025-03-28,490.0,call,0.01,0.01,0.188003,324,79,2025-03-06
GOOGL,2025-04-25,205.0,call,0.12,0.12,0.202867,2032,627,2025-03-05
AAPL,2025-03-07,195.0,put,9.8,10.1,0.234222,275,51,2025-03-05
GOOGL,2025-03-07,185.0,put,9.72,10.23,0.227175,1549,191,2025-03-06
GOOGL,2025-04-18,150.0,put,0.08,0.08,0.218469,40,12,2025-03-04
AAPL,2025-03-14,220.0,put,33.79,35.55,0.1984,247,31,2025-03-03
AMZN,2025-03-28,205.0,put,10.2,10.51,0.199394,604,46,2025-03-03
NVDA,2025-04-04,1030.0,call,0.02,0.02,0.190506,488,279,2025-03-07
GOOGL,2025-04-11,190.0,call,0.5,0.52,0.183334,495,157,2025-03-03
AMZN,2025-03-14,200.0,call,1.11,1.14,0.222498,660,139,2025-03-04
MSFT,2025-04-25,395.0,call,25.62,26.38,0.188519,716,336,2025-03-06
AMZN,2025-03-21,170.0,put,0.01,0.01,0.219053,426,54,2025-03-06
MSFT,2025-03-28,330.0,call,83.77,88.31,0.215188,418,60,2025-03-05
AAPL,2025-03-21,195.0,call,0.44,0.45,0.207653,3900,573,2025-03-06
GOOGL,2025-04-25,150.0,put,0.05,0.06,0.199126,1249,113,2025-03-07
GOOGL,2025-03-21,195.0,call,0.01,0.01,0.212689,483,51,2025-03-07
GOOGL,2025-03-28,190.0,put,14.36,14.85,0.195743,936,172,2025-03-05
GOOGL,2025-04-25,175.0,call,5.29,5.41,0.18459,41,6,2025-03-06
MSFT,2025-03-14,425.0,call,1.78,1.83,0.227372,163,30,2025-03-07
AMZN,2025-03-28,230.0,put,33.35,35.21,0.196612,659,15,2025-03-05
MSFT,2025-04-04,355.0,put,0.05,0.05,0.223339,128,31,2025-03-05
AMZN,2025-05-02,175.0,put,0.38,0.4,0.195755,124,29,2025-03-07
GOOGL,2025-04-25,175.0,put,4.03,4.12,0.182898,49,18,2025-03-07
MSFT,2025-04-04,465.0,put,47.14,49.35,0.194727,397,102,2025-03-03
AAPL,2025-04-11,165.0,call,20.68,21.45,0.215377,66,5,2025-03-04
AAPL,2025-03-21,165.0,call,20.05,20.82,0.222383,549,310,2025-03-03
